rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
258	tribe258	115630	6	4	2	s2_38seqs	4	66.67	100.00	s2_38seqs:4
259	tribe259	115691	6	3	3	s2_38seqs	3	50.00	100.00	s2_38seqs:3
260	tribe260	130937	6	1	5	s7g_172seqs	1	16.67	100.00	s7g_172seqs:1
261	tribe261	145257	6	6	0	s2_38seqs	6	100.00	100.00	s2_38seqs:6
262	tribe262	145577	6	6	0	s4_60seqs	5	83.33	83.33	s4_60seqs:5;s6_7seqs:1
263	tribe263	147291	6	3	3	s6_7seqs	2	33.33	66.67	s6_7seqs:2;s4_60seqs:1
264	tribe264	160499	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
265	tribe265	160550	6	6	0	s2_38seqs	6	100.00	100.00	s2_38seqs:6
266	tribe266	160587	6	4	2	s4_60seqs	3	50.00	75.00	s4_60seqs:3;s6_7seqs:1
267	tribe267	160597	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
268	tribe268	160599	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
269	tribe269	162007	6	1	5	s5_5seqs	1	16.67	100.00	s5_5seqs:1
270	tribe270	162814	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
271	tribe271	165598	6	6	0	s8_225seqs	6	100.00	100.00	s8_225seqs:6
272	tribe272	171503	6	5	1	s4_60seqs	3	50.00	60.00	s4_60seqs:3;s6_7seqs:2
273	tribe273	172221	6	4	2	s5_5seqs	3	50.00	75.00	s5_5seqs:3;s4_60seqs:1
274	tribe274	174507	6	6	0	s6_7seqs	6	100.00	100.00	s6_7seqs:6
275	tribe275	175288	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
276	tribe276	180605	6	4	2	s6_7seqs	4	66.67	100.00	s6_7seqs:4
277	tribe277	181302	6	5	1	s6_7seqs	5	83.33	100.00	s6_7seqs:5
278	tribe278	181325	6	1	5	s1_30seqs	1	16.67	100.00	s1_30seqs:1
279	tribe279	181363	6	4	2	s6_7seqs	3	50.00	75.00	s6_7seqs:3;s4_60seqs:1
280	tribe280	183271	6	2	4	s4_60seqs	2	33.33	100.00	s4_60seqs:2
281	tribe281	184040	6	6	0	s4_60seqs	6	100.00	100.00	s4_60seqs:6
282	tribe282	184144	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
283	tribe283	185883	6	2	4	s4_60seqs	2	33.33	100.00	s4_60seqs:2
284	tribe284	185977	6	6	0	s8_225seqs	6	100.00	100.00	s8_225seqs:6
285	tribe285	189181	6	4	2	s6_7seqs	3	50.00	75.00	s6_7seqs:3;s4_60seqs:1
286	tribe286	190749	6	5	1	s4_60seqs	5	83.33	100.00	s4_60seqs:5
287	tribe287	192485	6	4	2	s4_60seqs	4	66.67	100.00	s4_60seqs:4
288	tribe288	193784	6	3	3	s4_60seqs	3	50.00	100.00	s4_60seqs:3
289	tribe289	197216	6	6	0	s4_60seqs	6	100.00	100.00	s4_60seqs:6
